,fold,sampler,model,precision,recall,f1_score,auc_roc,auc_pr,gmean,balanced_accuracy,confusion_matrix,training_time,fold_time
0,1,None,XGBoost,0.8888888888888888,0.7272727272727273,0.8,0.9649698540013859,0.8009549501914294,0.8527353739999682,0.8635572260600839,"[[56854     9]
 [   27    72]]",1.697521686553955,187.73955726623535
1,1,None,XGBoost_b,0.8888888888888888,0.8080808080808081,0.8465608465608465,0.9804477783479948,0.8433963090570985,0.8988541027080273,0.9039524734000931,"[[56853    10]
 [   19    80]]",2.5947225093841553,187.73955726623535
2,1,Random OverSampling,XGBoost,0.8709677419354839,0.8181818181818182,0.84375,0.979334345512704,0.847628950111524,0.9044385851891912,0.908985392322536,"[[56851    12]
 [   18    81]]",3.4148645401000977,187.73955726623535
3,1,Random OverSampling,XGBoost_b,0.8163265306122449,0.8080808080808081,0.8121827411167513,0.9586193077567082,0.8238387526889007,0.8987908599081597,0.9038821288878444,"[[56845    18]
 [   19    80]]",3.505185127258301,187.73955726623535
4,1,SMOTE,XGBoost,0.7850467289719626,0.8484848484848485,0.8155339805825242,0.9635379168467468,0.8542761932115636,0.9209460638556148,0.9240401837697092,"[[56840    23]
 [   15    84]]",3.009511709213257,187.73955726623535
5,1,SMOTE,XGBoost_b,0.5359477124183006,0.8282828282828283,0.6507936507936508,0.9448154406914937,0.8336327768725501,0.9095320895068222,0.9135171065952066,"[[56792    71]
 [   17    82]]",3.1686577796936035,187.73955726623535
6,1,ADASYN,XGBoost,0.7008547008547008,0.8282828282828283,0.7592592592592593,0.9713180909565201,0.8366351947494738,0.9098203164398353,0.9138336569003259,"[[56828    35]
 [   17    82]]",2.8046140670776367,187.73955726623535
7,1,ADASYN,XGBoost_b,0.5157232704402516,0.8282828282828283,0.6356589147286822,0.9550388431383102,0.8349892604173984,0.9094840428041092,0.9134643482110201,"[[56786    77]
 [   17    82]]",3.0440123081207275,187.73955726623535
8,1,SMOTETomek,XGBoost,0.7850467289719626,0.8484848484848485,0.8155339805825242,0.9635379168467468,0.8542761932115636,0.9209460638556148,0.9240401837697092,"[[56840    23]
 [   15    84]]",4.7205235958099365,187.73955726623535
9,1,SMOTETomek,XGBoost_b,0.5359477124183006,0.8282828282828283,0.6507936507936508,0.9448154406914937,0.8336327768725501,0.9095320895068222,0.9135171065952066,"[[56792    71]
 [   17    82]]",4.617361545562744,187.73955726623535
10,2,None,XGBoost,0.9506172839506173,0.7777777777777778,0.8555555555555555,0.9381028689014549,0.8481773967460534,0.881886084128422,0.8888537166327646,"[[56859     4]
 [   22    77]]",2.639400005340576,201.7719328403473
11,2,None,XGBoost_b,0.9882352941176471,0.8484848484848485,0.9130434782608695,0.976429259266957,0.9102736683769388,0.9211242733321299,0.9242336311783932,"[[56862     1]
 [   15    84]]",2.431335210800171,201.7719328403473
12,2,Random OverSampling,XGBoost,0.9772727272727273,0.8686868686868687,0.9197860962566845,0.9746715346490245,0.9000479306314265,0.9320173362174287,0.9343258482153722,"[[56861     2]
 [   13    86]]",4.244588613510132,201.7719328403473
13,2,Random OverSampling,XGBoost_b,0.9021739130434783,0.8383838383838383,0.8691099476439791,0.9437384235759279,0.8762808992294411,0.915560562198872,0.9191127816156394,"[[56854     9]
 [   16    83]]",4.304859638214111,201.7719328403473
14,2,SMOTE,XGBoost,0.7889908256880734,0.8686868686868687,0.8269230769230769,0.9724633209324485,0.8923275551000636,0.9318452132199528,0.9341411938707193,"[[56840    23]
 [   13    86]]",3.1785027980804443,201.7719328403473
15,2,SMOTE,XGBoost_b,0.5403726708074534,0.8787878787878788,0.6692307692307692,0.9630360904651744,0.8788470947939431,0.9368266902425791,0.9387432526556385,"[[56789    74]
 [   12    87]]",3.5951027870178223,201.7719328403473
16,2,ADASYN,XGBoost,0.7889908256880734,0.8686868686868687,0.8269230769230769,0.9680145634456874,0.8874823162252452,0.9318452132199528,0.9341411938707193,"[[56840    23]
 [   13    86]]",4.084860324859619,201.7719328403473
17,2,ADASYN,XGBoost_b,0.4835164835164835,0.8888888888888888,0.6263345195729537,0.9655317219110898,0.8865433338239336,0.9420294423151443,0.9436178964255217,"[[56769    94]
 [   11    88]]",4.864783525466919,201.7719328403473
18,2,SMOTETomek,XGBoost,0.7889908256880734,0.8686868686868687,0.8269230769230769,0.9724633209324485,0.8923275551000636,0.9318452132199528,0.9341411938707193,"[[56840    23]
 [   13    86]]",3.9426066875457764,201.7719328403473
19,2,SMOTETomek,XGBoost_b,0.5403726708074534,0.8787878787878788,0.6692307692307692,0.9630360904651744,0.8788470947939431,0.9368266902425791,0.9387432526556385,"[[56789    74]
 [   12    87]]",3.6164088249206543,201.7719328403473
